date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean,CO_mean,PM25_mean
2011-01-01,193.167,19.958,17.4375,19.8545,2.4165,2.917,21.5835,213.125,5.208,15.958
2011-01-02,190.042,12.167,11.4165,12.8125,1.3955,2.542,13.8335,202.208,4.417,10.083
2011-01-03,189.292,10.625,12.3125,14.125,1.8125,2.25,7.8125,199.917,5.042,5.542
2011-01-04,189.792,15.75,15.104,20.1665,5.0625,3.667,14.4375,205.542,6.917,10.458
2011-01-05,190.783,17.478,20.3915,29.174,8.7825,3.217,8.2635,208.261,4.348,5.909
2011-01-06,193.042,33.333,30.625,45.375,14.75,4.0,16.792,226.375,8.5,11.542
2011-01-07,191.417,19.958,19.0835,24.146,5.0625,3.208,10.396,211.375,5.417,7.0
2011-01-08,191.583,15.625,15.75,17.292,1.5415,2.792,8.9375,207.208,5.5,6.708
2011-01-09,193.875,26.875,23.3335,31.3125,7.979,3.708,21.375,220.75,7.167,14.917
2011-01-10,192.083,27.167,28.1875,38.5,10.3125,4.292,22.5625,219.25,6.542,15.333
2011-01-11,190.095,17.0,19.0455,24.996000000000002,5.9505,4.043,19.0435,207.095,4.696,12.167
2011-01-12,192.708,22.167,21.9375,33.125,11.1875,3.958,13.332999999999998,214.875,5.917,8.417
2011-01-13,195.708,43.875,32.8955,65.021,32.125,4.667,21.5415,239.583,8.625,14.042
2011-01-14,195.667,26.417,23.375,34.25,10.875,4.625,16.396,222.083,7.708,12.833
2011-01-15,197.917,23.583,21.729,28.771,7.042,4.792,16.625,221.5,6.667,14.417
2011-01-16,193.13,19.826,21.4665,24.886499999999998,3.42,3.913,19.346,212.957,4.913,16.208
2011-01-17,194.125,31.875,28.7915,44.3545,15.5625,4.583,24.75,226.0,7.458,18.792
2011-01-18,196.417,44.125,37.375,63.375,26.0,6.0,32.375,240.542,11.0,22.208
2011-01-19,193.042,22.5,24.2915,32.9375,8.646,5.292,24.833,215.542,4.042,16.208
2011-01-20,188.958,11.083,13.25,16.1875,2.9375,3.25,16.7295,200.042,9.667,10.333
2011-01-21,187.75,7.667,9.0,11.125,2.125,2.25,8.7085,195.417,7.708,4.917
2011-01-22,189.708,16.208,13.146,16.5415,3.3955,2.083,9.479,205.917,5.208,6.583
2011-01-23,195.261,30.783,24.4565,55.2825,30.826,3.0,16.087,226.043,9.478,11.333
2011-01-24,193.167,26.667,23.792,37.125,13.3335,3.125,13.0,219.833,5.292,9.542
2011-01-25,193.333,32.792,27.2705,54.7295,27.458,3.792,18.042,226.125,7.167,12.208
2011-01-26,193.25,24.583,25.229,36.4165,11.1875,4.292,13.895499999999998,217.833,7.875,11.5
2011-01-27,194.125,31.208,25.1875,48.5625,23.375,4.708,16.521,225.333,9.208,13.042
2011-01-28,193.167,17.208,16.854,20.8335,3.979,3.708,14.625,210.375,4.333,12.958
2011-01-29,191.875,9.708,9.6665,10.5625,0.896,2.833,8.396,201.583,3.667,7.958
2011-01-30,193.625,21.167,23.2705,31.2705,8.0,3.542,12.521,214.792,5.417,10.667
2011-01-31,193.208,27.958,26.417,42.8125,16.396,3.792,15.75,221.167,6.458,11.583
2011-02-01,191.455,24.455,18.5175,26.722,8.2045,5.174,18.4565,215.909,5.182,17.864
2011-02-02,194.458,25.25,21.5415,33.5,11.9585,3.875,10.979,219.708,7.0,9.583
2011-02-03,195.792,27.958,24.6665,40.875,16.2085,4.25,11.1455,223.75,6.667,10.25
2011-02-04,196.708,33.708,28.3335,51.271,22.9375,3.958,16.208,230.417,6.708,13.167
2011-02-05,199.042,28.125,26.7915,36.646,9.854,5.375,24.1875,227.167,10.167,19.167
2011-02-06,196.833,32.125,31.0205,44.2705,13.25,4.375,41.375,228.958,7.708,28.417
2011-02-07,194.125,38.667,29.896,47.1875,17.2915,2.875,42.292,232.792,8.417,18.917
2011-02-08,191.773,18.773,19.348,23.8695,4.522,4.13,10.9165,210.545,4.391,7.333
2011-02-09,193.583,28.417,24.167,43.875,19.7085,3.5,10.8335,222.0,6.25,8.25
2011-02-10,194.167,31.458,29.625,52.125,22.5,4.458,17.9375,225.625,9.583,13.125
2011-02-11,194.0,23.333,24.0,30.8125,6.8125,4.333,19.3335,217.333,8.458,14.125
2011-02-12,194.25,15.417,14.708,18.4795,3.7705,3.458,11.75,209.667,4.875,10.042
2011-02-13,197.0,27.087,33.8475,50.6085,16.761,5.13,24.75,224.087,6.783,17.708
2011-02-14,192.917,25.833,29.125,34.7085,5.5835,4.792,38.4375,218.75,7.208,24.542
2011-02-15,194.208,29.083,26.6665,40.0625,13.3955,4.417,32.9375,223.292,6.125,20.083
2011-02-16,191.083,16.0,19.4375,22.4795,3.0415,4.208,17.667,207.083,4.0,13.75
2011-02-17,194.042,23.333,26.5625,35.8125,9.25,4.542,26.375,217.375,5.833,14.958
2011-02-18,191.708,10.292,11.2085,13.2085,2.0,3.167,10.3125,202.0,4.0,8.583
2011-02-19,195.75,15.042,17.0,20.1665,3.1665,3.5,16.167,210.792,5.625,13.167
2011-02-20,195.083,21.5,24.5835,30.917,6.3335,4.0,17.8125,216.583,6.042,12.833
2011-02-21,196.042,41.542,37.1875,53.2085,16.0205,4.667,26.1875,237.583,7.792,17.042
2011-02-22,193.0,17.609,21.835,25.1515,3.316,6.957,29.042,210.609,5.913,22.458
2011-02-23,191.917,25.875,26.1665,32.875,6.7085,3.375,32.9375,217.792,6.292,18.208
2011-02-24,192.75,22.125,20.667,23.5625,2.896,6.5,28.9375,214.875,6.458,24.208
2011-02-25,193.875,18.875,19.8955,22.0205,2.125,3.583,20.917,212.75,6.125,13.792
2011-02-26,194.0,12.167,12.4795,13.625,1.146,3.542,11.2295,206.167,3.958,9.167
