date,NO2_mean,NOX_mean,NO_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,SO2_mean,THC_mean
2011-01-01,24.125,30.0,5.875,26.792,199.5,21.625,,6.696,221.125
2011-01-02,15.23,19.938,4.708,18.708,193.792,17.083,,5.0,210.875
2011-01-03,9.375,10.146,0.771,8.438,186.542,7.5,,3.583,194.042
2011-01-04,17.334,20.521,3.188,14.375,189.542,17.125,,8.417,206.667
2011-01-05,17.532,19.699,2.166,10.396,189.0,10.13,,4.5,199.13
2011-01-06,28.333,39.708,11.375,13.916,190.292,17.75,,7.375,208.042
2011-01-07,13.521,15.042,1.52,9.292,189.708,9.167,,4.208,198.875
2011-01-08,11.042,12.062,1.021,8.604,190.417,9.042,,3.792,199.458
2011-01-09,30.02,43.458,13.438,23.875,199.333,26.458,,7.826,225.792
2011-01-10,34.671,49.534,14.864,25.388,195.409,29.136,,8.087,224.545
2011-01-11,24.972,36.168,11.196,22.575,193.458,21.833,,5.75,215.292
2011-01-12,21.916,29.0,7.083,12.062,190.542,12.208,,5.083,202.75
2011-01-13,35.875,63.48,27.604,19.666,194.292,28.625,,8.625,222.917
2011-01-14,22.625,29.479,6.854,15.625,194.708,20.167,,5.625,214.875
2011-01-15,23.125,28.958,5.833,16.104,194.958,18.0,,7.25,212.958
2011-01-16,25.694,32.008,6.313,19.858,192.696,12.261,,6.522,204.957
2011-01-17,23.146,27.771,4.625,16.52,192.208,10.75,,6.625,202.958
2011-01-18,43.98,75.562,31.584,35.172,202.333,34.792,,10.261,237.125
2011-01-19,28.771,39.25,10.479,30.438,197.0,23.375,,7.417,220.375
2011-01-20,17.354,19.479,2.125,18.375,190.0,15.625,,3.458,205.625
2011-01-21,13.438,14.625,1.188,11.521,188.333,14.792,,2.696,203.125
2011-01-22,16.854,21.458,4.604,9.375,192.125,20.417,,3.5,212.542
2011-01-23,29.512,74.576,45.064,19.218,201.5,39.167,,7.5,240.667
2011-01-24,21.494,26.641,5.146,12.206,191.333,14.286,,4.87,205.619
2011-01-25,31.25,61.979,30.73,23.021,197.958,26.542,,9.917,224.5
2011-01-26,26.417,32.854,6.438,14.854,198.875,15.208,,6.083,214.083
2011-01-27,32.584,58.75,26.166,17.604,202.875,24.917,,7.0,227.792
2011-01-28,20.271,28.584,8.312,18.271,198.667,14.083,,5.958,212.75
2011-01-29,7.854,8.438,0.584,10.542,195.208,4.375,,3.542,199.583
2011-01-30,18.833,22.708,3.875,11.792,196.125,7.583,,5.25,203.708
2011-01-31,28.87,41.478,12.609,15.344,200.714,20.929,,7.261,221.643
2011-02-01,17.567,19.916,2.35,19.73,191.5,23.9,,5.957,215.4
2011-02-02,12.271,13.562,1.292,11.312,188.25,7.25,,3.458,195.5
2011-02-03,25.562,33.792,8.229,12.5,189.917,10.792,,6.917,200.708
2011-02-04,27.562,46.708,19.146,17.021,194.167,34.708,,6.542,228.875
2011-02-05,27.354,36.104,8.75,24.958,197.75,19.042,,9.708,216.792
2011-02-06,36.544,48.76,12.217,35.932,200.524,30.238,,4.913,230.762
2011-02-07,29.896,52.688,22.792,31.916,201.042,35.375,,5.0,236.417
2011-02-08,18.979,23.416,4.438,11.77,197.125,16.292,,5.833,213.417
2011-02-09,18.125,21.0,2.875,9.25,195.583,19.708,,5.375,215.292
2011-02-10,33.333,49.708,16.375,18.125,200.125,22.083,,9.583,222.208
2011-02-11,20.062,23.188,3.125,17.792,198.542,15.792,,6.667,214.333
2011-02-12,12.562,14.354,1.792,13.708,198.042,10.083,,4.25,208.125
2011-02-13,33.083,44.938,11.854,24.646,200.208,18.792,,10.417,219.0
2011-02-14,30.248,35.47,5.223,37.021,198.045,25.409,,5.632,223.455
2011-02-15,27.11,48.724,21.614,26.224,201.0,27.375,,8.958,228.375
2011-02-16,18.916,20.834,1.917,16.5,190.208,10.708,,5.625,200.917
2011-02-17,27.646,34.75,7.104,26.312,195.083,19.875,,6.542,214.958
2011-02-18,10.25,11.104,0.854,12.167,191.417,6.917,,4.174,198.333
2011-02-19,13.0,14.73,1.729,14.354,193.042,8.833,,5.833,201.875
2011-02-20,29.979,40.75,10.771,20.542,198.708,19.667,,7.167,218.375
2011-02-21,41.083,57.146,16.062,26.688,200.583,26.667,,9.708,227.25
2011-02-22,21.476,23.769,2.294,29.096,197.417,14.542,,9.917,211.958
2011-02-23,29.45,54.483,25.032,35.193,196.091,34.364,,7.087,230.455
2011-02-24,20.188,22.875,2.688,30.084,195.25,18.042,,10.042,213.292
2011-02-25,22.417,25.438,3.02,21.208,196.125,20.667,,6.545,216.792
2011-02-26,13.73,14.667,0.938,13.062,191.792,10.125,,6.0,201.917
2011-02-27,9.25,10.334,1.084,13.396,192.125,5.458,,3.833,197.583
2011-02-28,19.458,22.458,3.0,13.438,194.333,9.625,,6.5,203.958
2011-03-01,29.292,43.479,14.188,17.916,194.667,22.417,,7.609,217.083
2011-03-02,32.042,58.792,26.75,20.708,199.5,34.583,,6.583,234.083
2011-03-03,15.688,18.042,2.354,16.938,194.75,14.292,,6.958,209.042
2011-03-04,12.312,12.834,0.521,22.312,195.583,11.167,,7.0,206.75
2011-03-05,23.478,29.413,5.934,12.261,193.261,24.391,,3.87,217.652
2011-03-06,37.52,89.708,52.188,31.208,206.958,52.167,,12.583,259.125
2011-03-07,28.916,42.812,13.896,34.708,199.5,28.833,,11.125,228.333
2011-03-08,29.958,35.646,5.688,23.771,197.667,21.667,,8.875,219.333
2011-03-09,24.312,28.938,4.625,21.625,195.917,25.542,,4.625,221.458
2011-03-10,13.896,14.646,0.75,7.792,191.167,15.042,,3.5,206.208
2011-03-11,16.438,18.562,2.125,18.542,194.875,25.625,,7.25,220.5
2011-03-12,13.37,15.717,2.348,10.034,192.87,10.304,,4.783,203.174
2011-03-13,13.292,14.646,1.354,10.188,196.542,9.208,,4.458,205.75
2011-03-14,24.0,28.52,4.52,15.604,198.833,14.333,,7.667,213.167
2011-03-15,20.73,27.916,7.188,22.646,192.826,16.087,,6.167,208.913
2011-03-16,17.188,20.312,3.125,20.188,190.75,11.375,,6.958,202.125
2011-03-17,39.625,65.375,25.75,43.188,198.167,37.208,,7.083,235.375
2011-03-18,32.062,46.188,14.125,42.021,200.458,41.0,,9.167,241.458
