date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean
2011-01-01,10.5,11.792,1.292,2.292,10.5,
2011-01-02,6.333,7.667,1.333,2.0,6.958,
2011-01-03,6.667,7.25,0.583,1.833,2.5,
2011-01-04,6.783,8.13,1.348,3.167,6.792,
2011-01-05,9.478,11.435,1.957,2.87,2.87,
2011-01-06,14.042,19.208,5.167,3.083,4.958,
2011-01-07,3.375,3.625,0.25,2.042,2.708,
2011-01-08,8.792,10.125,1.333,2.125,4.458,
2011-01-09,15.875,21.667,5.792,2.542,11.458,
2011-01-10,20.542,37.083,16.542,3.0,10.125,
2011-01-11,11.739,23.261,11.522,2.958,7.333,
2011-01-12,8.042,9.333,1.292,2.542,3.583,
2011-01-13,13.708,23.292,9.583,2.917,6.292,
2011-01-14,5.708,6.333,0.625,2.875,3.917,
2011-01-15,6.667,7.792,1.125,2.625,6.292,
2011-01-16,8.167,9.958,1.792,2.625,6.875,
2011-01-17,12.958,15.5,2.542,2.792,5.25,
2011-01-18,19.435,31.304,11.87,2.917,6.875,
2011-01-19,19.208,39.792,20.583,3.208,14.875,
2011-01-20,9.958,11.75,1.792,3.125,1.792,
2011-01-21,10.125,11.083,0.958,2.083,4.042,
2011-01-22,13.625,16.042,2.417,2.375,8.458,
2011-01-23,9.417,12.25,2.833,2.833,3.5,
2011-01-24,9.625,11.625,2.0,2.708,2.583,
2011-01-25,13.13,16.304,3.174,3.458,3.292,
2011-01-26,13.5,16.583,3.083,3.125,5.5,
2011-01-27,16.833,24.333,7.5,3.333,8.958,
2011-01-28,4.333,4.667,0.333,2.542,6.208,
2011-01-29,5.5,5.792,0.292,2.042,2.5,
2011-01-30,15.083,19.792,4.708,2.917,7.667,
2011-01-31,12.958,15.292,2.333,2.792,4.083,
2011-02-01,11.435,14.565,3.13,3.292,4.833,
2011-02-02,5.917,6.875,0.958,3.083,6.167,
2011-02-03,13.042,16.333,3.292,2.792,6.125,
2011-02-04,7.375,8.208,0.833,2.75,5.0,
2011-02-05,9.417,10.208,0.792,3.167,11.75,
2011-02-06,20.652,28.522,7.87,3.696,28.636,
2011-02-07,14.583,18.458,3.875,2.5,9.667,
2011-02-08,4.0,4.565,0.565,2.417,2.542,
2011-02-09,8.118,9.353,1.235,2.824,3.765,
2011-02-10,9.792,11.458,1.667,2.708,5.583,
2011-02-11,5.583,5.875,0.292,2.0,5.125,
2011-02-12,7.958,9.042,1.083,2.208,7.125,
2011-02-13,13.083,15.25,2.167,2.833,9.125,
2011-02-14,24.583,34.083,9.5,3.333,18.167,
2011-02-15,9.348,10.826,1.478,3.458,8.792,
2011-02-16,9.333,10.792,1.458,2.583,7.167,
2011-02-17,8.583,9.708,1.125,2.667,5.792,
2011-02-18,4.917,5.333,0.417,2.542,4.083,
2011-02-19,6.955,7.545,0.591,2.174,4.609,
2011-02-20,12.5,14.417,1.917,2.708,6.667,
2011-02-21,11.091,13.318,2.227,3.208,11.625,
2011-02-22,10.522,11.478,0.957,4.208,20.0,
2011-02-23,13.083,15.083,2.0,3.542,13.042,
2011-02-24,8.917,9.667,0.75,5.625,26.083,
2011-02-25,8.292,8.833,0.542,3.167,10.583,
2011-02-26,3.875,4.042,0.167,2.083,2.917,
2011-02-27,3.625,4.042,0.417,2.833,8.042,
2011-02-28,10.333,11.583,1.25,3.292,9.292,
2011-03-01,17.292,20.958,3.667,3.25,5.917,
2011-03-02,20.792,28.875,8.083,3.208,10.0,
2011-03-03,4.042,4.125,0.083,2.75,6.875,
2011-03-04,6.542,7.375,0.833,2.958,16.667,
2011-03-05,10.261,11.174,0.913,2.652,3.0,
2011-03-06,11.75,13.75,2.0,3.042,6.625,
2011-03-07,8.13,8.696,0.565,3.958,21.167,
2011-03-08,11.917,13.375,1.458,4.167,26.667,
2011-03-09,17.292,19.0,1.708,4.042,16.667,
2011-03-10,11.783,13.174,1.391,3.042,4.417,
2011-03-11,5.0,5.5,0.5,3.042,5.25,
2011-03-12,4.417,4.917,0.5,3.417,2.375,
2011-03-13,6.417,7.083,0.667,3.375,4.292,
2011-03-14,9.696,10.348,0.652,3.875,6.167,
2011-03-15,9.625,10.75,1.125,4.167,12.125,
2011-03-16,11.792,12.833,1.042,4.167,16.542,
2011-03-17,18.542,20.708,2.167,4.167,16.708,
2011-03-18,9.292,10.333,1.042,2.958,11.083,
2011-03-19,4.333,4.875,0.542,3.125,3.0,
2011-03-20,4.667,5.083,0.417,3.0,7.75,
2011-03-21,5.087,5.565,0.478,3.375,6.0,
2011-03-22,9.792,11.75,1.958,3.375,10.958,
2011-03-23,14.0,15.125,1.125,3.542,12.208,
2011-03-24,8.542,9.458,0.917,2.958,4.25,
2011-03-25,6.0,6.333,0.333,3.292,5.917,
2011-03-26,10.542,11.75,1.208,3.875,9.542,
2011-03-27,12.375,13.583,1.208,4.0,11.125,
2011-03-28,10.348,12.783,2.435,4.75,17.042,
2011-03-29,9.667,11.125,1.458,3.917,13.333,
2011-03-30,12.417,14.875,2.458,5.042,15.042,
2011-03-31,6.167,6.625,0.458,3.292,5.417,
2011-04-01,11.75,14.25,2.5,,17.833,
2011-04-02,10.792,14.792,4.0,,22.875,
2011-04-03,3.958,5.083,1.125,,12.542,
2011-04-04,5.792,7.25,1.458,,12.417,
2011-04-05,14.667,18.375,3.708,,15.458,
2011-04-06,17.476,22.667,5.19,5.667,14.455,
2011-04-07,22.091,27.909,5.818,6.478,15.273,
2011-04-08,14.917,18.167,3.25,5.375,9.042,
2011-04-09,9.167,9.958,0.792,4.375,8.708,
2011-04-10,6.458,6.667,0.208,3.667,18.042,
2011-04-11,7.625,7.917,0.292,4.625,22.917,
2011-04-12,5.125,5.167,0.042,4.583,21.167,
2011-04-13,14.261,17.174,2.913,5.083,18.833,
2011-04-14,13.833,16.375,2.542,6.375,20.75,
2011-04-15,12.458,14.167,1.708,6.583,20.792,
2011-04-16,6.167,7.167,1.0,5.625,18.583,
2011-04-17,4.875,5.667,0.792,4.542,15.042,
2011-04-18,9.292,10.333,1.042,5.25,22.042,
2011-04-19,8.667,9.75,1.083,3.708,7.458,
2011-04-20,7.435,8.348,0.913,3.333,5.375,
2011-04-21,12.708,14.417,1.708,4.083,15.167,
2011-04-22,10.917,12.417,1.5,4.458,18.667,
2011-04-23,7.958,9.0,1.042,3.792,14.625,
2011-04-24,4.0,4.25,0.25,3.792,6.667,
2011-04-25,9.292,10.75,1.458,4.292,10.875,
2011-04-26,14.625,16.833,2.208,4.333,14.917,
2011-04-27,9.261,12.478,3.217,4.5,26.0,
2011-04-28,5.042,5.75,0.708,4.333,9.25,
2011-04-29,6.083,6.958,0.875,4.208,9.333,
2011-04-30,10.042,11.125,1.083,5.042,19.542,
2011-05-01,5.833,6.708,0.875,4.417,16.0,
2011-05-02,5.0,5.708,0.708,4.167,92.417,
2011-05-03,7.375,8.625,1.25,4.208,64.333,
2011-05-04,5.13,6.0,0.87,4.167,32.333,
2011-05-05,5.583,6.417,0.833,4.292,23.917,
2011-05-06,7.522,8.522,1.0,3.957,21.696,
2011-05-07,8.083,9.083,1.0,3.833,24.458,
2011-05-08,5.958,6.75,0.792,4.375,23.083,
2011-05-09,11.875,12.833,0.958,5.708,24.5,
2011-05-10,9.25,10.792,1.542,3.958,14.125,
2011-05-11,12.217,13.522,1.304,3.083,8.0,
2011-05-12,8.5,9.708,1.208,3.0,2.25,
2011-05-13,7.958,10.042,2.083,3.875,28.042,
2011-05-14,6.167,7.125,0.958,4.333,28.5,
2011-05-15,5.625,6.5,0.875,4.458,15.792,
2011-05-16,12.958,14.375,1.417,5.375,25.375,
2011-05-17,11.958,13.417,1.458,4.875,31.917,
2011-05-18,9.0,10.261,1.261,4.792,26.348,
2011-05-19,10.75,11.958,1.208,14.708,32.333,
2011-05-20,11.042,12.125,1.083,7.875,31.208,
2011-05-21,8.708,9.708,1.0,6.292,30.417,
2011-05-22,6.208,7.375,1.167,4.542,15.542,
2011-05-23,6.75,7.875,1.125,3.75,7.792,
2011-05-24,6.417,7.333,0.917,3.417,5.167,
2011-05-25,6.739,7.783,1.043,4.125,14.833,
2011-05-26,10.208,11.417,1.208,3.875,19.833,
2011-05-27,10.292,11.375,1.083,3.083,13.625,
2011-05-28,7.5,8.667,1.167,3.083,6.25,
2011-05-29,6.75,9.75,3.0,3.0,4.083,
2011-05-30,7.375,11.167,3.792,3.0,3.333,
2011-05-31,5.875,6.75,0.875,3.583,8.167,
2011-06-01,10.0,12.304,2.304,16.083,13.75,
2011-06-02,9.792,12.0,2.208,3.292,8.5,
2011-06-03,7.375,9.125,1.75,3.542,12.625,
2011-06-04,6.542,7.75,1.208,4.0,20.083,
2011-06-05,6.167,6.833,0.667,4.208,42.708,
2011-06-06,5.792,6.458,0.667,4.217,22.652,
2011-06-07,9.182,10.364,1.182,5.583,31.125,
2011-06-08,6.739,7.609,0.87,4.812,18.938,
2011-06-09,9.167,10.292,1.125,5.292,19.125,
2011-06-10,10.458,12.25,1.792,4.5,33.042,
2011-06-11,5.958,6.958,1.0,3.75,21.625,
2011-06-12,6.083,7.167,1.083,3.625,17.875,
2011-06-13,5.708,6.792,1.083,3.792,16.417,
2011-06-14,6.042,7.083,1.042,4.042,15.875,
2011-06-15,7.913,8.957,1.043,4.5,15.333,
2011-06-16,8.708,9.875,1.167,4.458,26.125,
2011-06-17,6.875,7.833,0.958,3.833,6.875,
2011-06-18,7.667,9.0,1.333,3.208,6.0,
2011-06-19,6.917,7.917,1.0,3.75,14.75,
2011-06-20,8.5,9.917,1.417,3.875,22.333,
2011-06-21,7.5,8.917,1.417,3.792,13.208,
2011-06-22,5.609,6.739,1.13,4.5,13.167,
2011-06-23,5.625,7.75,2.125,3.917,15.583,
