date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,CO_mean,NMHC_mean,PM25_mean,THC_mean
2011-01-01,10.1665,12.375,2.2085,0.0,10.6875,193.333,3.583,9.792,10.708,203.125
2011-01-02,7.4375,9.458,2.021,0.0,9.8125,190.5,2.792,7.542,6.75,198.042
2011-01-03,6.1739999999999995,7.717499999999999,1.5435,0.0,7.625,188.783,2.652,5.13,4.333,193.913
2011-01-04,10.217500000000001,13.456499999999998,3.2395,0.0,9.517,196.083,3.304,6.333,7.5,202.417
2011-01-05,3.792,6.4375,2.6455,0.0,11.021,189.833,2.208,3.542,9.417,193.375
2011-01-06,18.958,30.167,11.207999999999998,0.0,10.375,192.667,3.958,10.542,9.208,203.208
2011-01-07,8.396,12.646,4.25,0.0,10.1665,191.083,2.792,5.542,6.667,196.625
2011-01-08,7.958,10.0835,2.125,0.0,7.7085,192.167,2.875,6.583,6.708,198.75
2011-01-09,20.646,27.3335,6.6875,0.0,10.0205,200.958,4.042,11.542,9.0,212.5
2011-01-10,18.848,25.5,6.652000000000001,0.0,12.9585,193.261,3.348,12.261,10.458,205.522
2011-01-11,12.0835,16.7085,4.625,0.0,9.458,197.583,2.667,10.125,8.292,207.708
2011-01-12,14.625,20.6875,6.0625,0.0,6.6045,190.208,3.0,12.667,5.583,202.875
2011-01-13,15.875,22.5835,6.708,0.0,11.0,190.583,3.333,12.125,8.75,202.708
2011-01-14,7.9375,11.521,3.5835,0.0,9.625,193.625,2.958,8.875,9.083,202.5
2011-01-15,9.208,11.6875,2.4795,0.125,14.104500000000002,192.708,2.875,8.583,12.5,201.292
2011-01-16,24.146,39.771,15.625,0.0,16.125,195.667,4.792,15.958,18.292,211.625
2011-01-17,22.886000000000003,32.295500000000004,9.409,0.0,12.963000000000001,191.435,4.136,16.043,13.5,207.478
2011-01-18,24.542,37.104,12.5625,0.0,18.042,192.542,4.375,17.083,13.875,209.625
2011-01-19,29.396,45.354,15.9585,0.0,24.542,194.125,5.333,21.792,17.083,215.917
2011-01-20,37.0625,79.854,42.7915,0.0,31.167,201.375,7.208,29.5,23.625,230.875
2011-01-21,30.271,51.229,20.9585,0.0,23.583,196.333,5.583,23.708,15.417,220.042
2011-01-22,16.25,21.208,4.9585,0.0,15.625,190.792,4.125,14.583,7.0,205.375
2011-01-23,11.7705,15.5,3.729,0.0,14.25,189.792,3.042,11.125,9.458,200.917
2011-01-24,17.261000000000003,25.4565,8.1955,0.0,13.208,190.87,3.174,9.522,9.042,200.391
2011-01-25,13.125,19.292,6.1665,0.0,11.833,193.792,2.792,7.708,5.208,201.5
2011-01-26,10.771,15.604500000000002,4.8335,0.0,13.208,194.083,2.542,5.083,8.5,199.167
2011-01-27,18.1665,25.9585,7.792,0.125,16.042,190.208,3.5,7.542,11.542,197.75
2011-01-28,7.25,10.875,3.625,0.042,11.75,193.625,2.333,4.042,8.917,197.667
2011-01-29,2.396,3.7705,1.375,0.0,11.042,192.667,2.042,2.5,7.167,195.167
2011-01-30,9.208,14.146,4.9375,0.0,13.083,192.958,2.708,5.083,7.75,198.042
2011-01-31,11.2725,15.636500000000002,4.364,0.0,13.125,193.273,3.182,6.091,7.696,199.364
2011-02-01,12.354,16.9585,4.6045,0.0,13.333,190.75,3.292,7.458,9.333,198.208
2011-02-02,7.292,11.521,4.229,0.0,12.542,191.792,2.917,6.208,8.375,198.0
2011-02-03,16.3335,24.0415,7.7085,0.0,11.792,193.833,3.625,9.708,6.667,203.542
2011-02-04,9.0625,12.7085,3.646,0.167,15.083,191.917,3.458,7.417,10.333,199.333
2011-02-05,17.708,22.521,4.8125,0.0,17.667,198.792,4.292,10.458,13.542,209.25
2011-02-06,39.5205,68.0625,28.542,0.042,36.042,206.458,8.208,26.917,30.125,233.375
2011-02-07,26.761000000000003,39.3915,12.630500000000001,0.0,22.125,194.522,5.957,17.217,16.417,211.739
2011-02-08,10.7085,15.9165,5.208,0.0,14.083,193.292,3.292,9.125,9.375,202.417
2011-02-09,12.667,17.4165,4.75,0.0,9.125,194.5,3.167,8.375,5.0,202.875
2011-02-10,14.0,19.1045,5.1045,0.0,13.792,193.833,3.167,8.792,7.667,202.625
2011-02-11,8.521,11.5625,3.0415,0.0,12.667,193.083,3.083,7.417,7.708,200.5
2011-02-12,4.0205,5.5,1.479,0.0,13.375,190.5,2.958,6.292,8.0,196.792
2011-02-13,23.354,35.25,11.896,0.0,23.708,196.25,5.042,14.0,15.917,210.25
2011-02-14,33.0,53.704499999999996,20.7045,0.0,29.0,199.609,5.857,19.348,20.25,218.957
2011-02-15,18.667,25.5835,6.9165,0.167,27.292,191.875,4.0,10.042,21.0,201.917
2011-02-16,12.8955,16.0625,3.167,0.0,11.583,190.125,2.917,8.042,8.875,198.167
2011-02-17,13.979,19.0415,5.0625,0.0,15.333,194.208,2.958,8.083,10.042,202.292
2011-02-18,8.646,13.8335,5.1875,0.0,12.125,191.458,2.792,6.042,6.917,197.5
2011-02-19,10.875,13.5,2.625,0.0,11.833,201.292,3.042,6.833,7.458,208.125
2011-02-20,19.3955,29.0835,9.6875,0.0,17.667,192.875,4.083,10.917,11.0,203.792
2011-02-21,21.261000000000003,28.761000000000003,7.5,0.043,20.958,191.391,4.087,11.565,16.167,202.957
2011-02-22,33.4585,49.417,15.9585,0.125,33.375,198.792,6.667,18.625,28.167,217.417
2011-02-23,34.375,65.833,31.458,0.0,40.0,199.667,7.0,23.5,29.542,223.167
2011-02-24,18.5835,23.1455,4.5625,0.167,34.25,192.467,4.667,11.267,29.708,203.733
2011-02-25,25.8125,33.4375,7.625,0.0,21.667,,5.25,,15.375,
