date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,PM25_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,16.125,22.625,6.5,0.25,17.0,203.348,,,,20.435,26.583,,,,223.783
2011-01-02,7.87,10.174,2.304,0.217,8.25,197.913,,,,6.087,13.417,,,,204.0
2011-01-03,9.083,9.958,0.875,0.583,4.708,194.348,,,,4.522,11.083,,,,198.87
2011-01-04,9.458,10.708,1.25,2.0,12.458,197.304,,,,4.043,18.792,,,,201.348
2011-01-05,13.25,15.042,1.792,0.958,5.208,196.739,,,,5.0,9.375,,,,201.739
2011-01-06,22.478,27.522,5.043,0.87,7.913,195.091,,,,8.909,14.409,,,,204.0
2011-01-07,12.792,14.417,1.625,0.5,3.75,196.0,,,,4.739,7.708,,,,200.739
2011-01-08,15.25,17.667,2.417,0.375,5.25,197.087,,,,8.435,9.417,,,,205.522
2011-01-09,16.435,20.391,3.957,1.348,10.625,197.261,,,,10.217,17.417,,,,207.478
2011-01-10,26.042,49.625,23.583,0.958,17.25,199.087,,,,19.87,27.708,,,,218.957
2011-01-11,15.958,33.958,18.0,1.083,16.042,197.087,,,,16.391,20.875,,,,213.478
2011-01-12,15.083,21.75,6.667,0.667,4.167,195.391,,,,7.478,8.917,,,,202.87
2011-01-13,21.042,40.958,19.917,1.333,9.375,196.739,,,,14.913,17.875,,,,211.652
2011-01-14,11.667,13.5,1.833,2.042,7.208,196.783,,,,6.0,15.458,,,,202.783
2011-01-15,10.333,11.333,1.0,1.042,7.25,196.304,,,,5.696,14.125,,,,202.0
2011-01-16,21.261,26.783,5.522,1.174,9.417,196.478,,,,12.0,16.583,,,,208.478
2011-01-17,25.25,48.458,23.208,0.667,11.458,198.435,,,,22.087,25.833,,,,220.522
2011-01-18,29.458,75.417,45.958,1.0,20.0,199.696,,,,30.174,32.667,,,,229.87
2011-01-19,34.739,75.043,40.304,0.913,22.667,199.957,,,,34.478,39.625,,,,234.435
2011-01-20,27.708,37.0,9.292,0.375,11.083,194.565,,,,17.261,25.833,,,,211.826
2011-01-21,22.5,28.125,5.625,0.083,13.125,194.087,,,,15.609,24.292,,,,209.696
2011-01-22,12.667,14.208,1.542,0.333,6.958,194.0,,,,9.87,15.042,,,,203.87
2011-01-23,15.087,24.826,9.739,0.826,4.5,196.826,,,,10.913,10.833,,,,207.739
2011-01-24,14.958,17.875,2.917,0.667,2.75,195.783,,,,6.696,6.708,,,,202.478
2011-01-25,16.458,18.833,2.375,2.333,11.417,195.0,,,,7.696,13.292,,,,202.696
2011-01-26,17.25,20.167,2.917,1.125,5.375,196.783,,,,5.348,10.625,,,,202.13
2011-01-27,24.333,48.917,24.583,1.375,10.583,198.174,,,,14.217,22.25,,,,212.391
2011-01-28,17.5,21.0,3.5,1.375,15.333,197.043,,,,7.913,26.042,,,,204.957
2011-01-29,6.75,7.0,0.25,1.0,4.333,194.826,,,,0.348,8.042,,,,195.174
2011-01-30,17.087,22.391,5.304,1.174,5.292,196.435,,,,5.609,9.583,,,,202.043
2011-01-31,21.292,29.333,8.042,0.833,6.75,196.957,,,,10.478,14.792,,,,207.435
2011-02-01,19.375,43.667,24.292,1.375,14.083,197.0,,,,12.565,18.375,,,,209.565
2011-02-02,14.042,16.125,2.083,1.875,8.083,197.174,,,,4.0,12.208,,,,201.174
2011-02-03,26.565,46.522,19.957,1.13,7.5,199.682,,,,20.864,17.238,,,,220.545
2011-02-04,17.708,29.125,11.417,1.5,13.292,197.957,,,,9.913,22.042,,,,207.87
2011-02-05,12.667,13.458,0.792,1.292,18.583,196.696,,,,6.0,28.625,,,,202.696
2011-02-06,27.696,51.348,23.652,1.087,32.958,198.913,,,,23.696,50.958,,,,222.609
2011-02-07,21.458,40.583,19.125,0.875,13.583,198.261,,,,19.565,20.75,,,,217.826
2011-02-08,7.708,8.75,1.042,0.458,7.208,194.762,,,,1.095,7.208,,,,195.857
2011-02-09,12.167,14.917,2.75,0.792,6.042,194.957,,,,2.957,9.167,,,,197.913
2011-02-10,17.625,25.917,8.292,0.917,12.125,195.13,,,,10.522,15.5,,,,205.652
2011-02-11,11.417,13.333,1.917,1.0,6.375,194.913,,,,2.826,13.0,,,,197.739
2011-02-12,7.833,8.25,0.417,0.792,9.458,194.913,,,,2.174,14.0,,,,197.087
2011-02-13,26.565,34.826,8.261,0.913,12.5,196.217,,,,12.391,23.625,,,,208.609
2011-02-14,30.5,61.083,30.583,0.292,21.875,198.609,,,,26.826,42.0,,,,225.435
2011-02-15,23.417,39.458,16.042,0.875,20.0,198.217,,,,15.783,29.208,,,,214.0
2011-02-16,18.792,21.417,2.625,1.0,10.125,195.391,,,,8.609,12.417,,,,204.0
2011-02-17,11.667,13.375,1.708,1.417,4.792,193.87,,,,2.87,8.833,,,,196.739
2011-02-18,8.25,8.75,0.5,0.875,6.375,196.957,,,,1.913,8.375,,,,198.87
2011-02-19,10.917,11.833,0.917,0.833,5.375,196.826,,,,2.826,11.708,,,,199.652
2011-02-20,22.545,29.909,7.364,1.091,8.417,193.227,,,,11.364,14.583,,,,204.591
2011-02-21,24.042,35.875,11.833,1.458,17.125,194.261,,,,15.783,18.125,,,,210.043
2011-02-22,21.125,28.833,7.708,1.792,25.417,195.609,,,,15.913,36.042,,,,211.522
2011-02-23,23.833,30.042,6.208,0.958,32.583,194.913,,,,17.565,39.125,,,,212.478
2011-02-24,20.917,22.875,1.958,2.75,30.708,197.87,,,,13.217,33.583,,,,211.087
2011-02-25,23.583,28.792,5.208,1.042,32.583,197.591,,,,15.909,43.958,,,,213.5
2011-02-26,8.292,8.75,0.458,0.25,6.417,197.043,,,,3.826,12.917,,,,200.87
2011-02-27,8.478,9.261,0.783,0.826,5.75,195.217,,,,0.826,11.217,,,,196.043
2011-02-28,19.375,22.375,3.0,0.958,10.625,195.87,,,,8.0,13.458,,,,203.87
2011-03-01,29.542,39.5,9.958,1.875,23.083,196.217,,,,19.913,21.542,,,,216.13
2011-03-02,27.87,62.261,34.391,0.87,33.591,198.864,,,,31.227,22.826,,,,230.091
2011-03-03,9.458,9.792,0.333,1.083,9.833,194.348,,,,4.739,12.75,,,,199.087
2011-03-04,18.75,20.25,1.5,0.917,27.417,198.087,,,,12.609,26.917,,,,210.696
2011-03-05,33.565,53.348,19.783,0.522,16.875,196.217,,,,26.174,10.458,,,,222.391
2011-03-06,29.583,58.958,29.375,1.75,21.833,200.348,,,,37.435,15.625,,,,237.783
2011-03-07,16.042,16.833,0.792,1.75,31.833,197.826,,,,12.087,26.417,,,,209.913
2011-03-08,24.083,26.458,2.375,2.417,28.833,197.87,,,,16.261,30.167,,,,214.13
2011-03-09,21.917,23.75,1.833,0.792,21.292,195.826,,,,12.696,20.167,,,,208.522
2011-03-10,9.625,10.25,0.625,0.208,9.167,193.522,,,,6.087,9.125,,,,199.609
2011-03-11,5.542,5.958,0.417,1.042,7.042,192.87,,,,1.391,9.167,,,,194.261
2011-03-12,10.043,11.522,1.478,0.652,6.792,196.391,,,,2.087,9.625,,,,198.478
2011-03-13,10.667,11.667,1.0,0.792,7.458,194.957,,,,1.391,10.083,,,,196.348
2011-03-14,24.0,29.625,5.625,0.917,7.833,198.478,,,,10.609,15.0,,,,209.087
2011-03-15,19.875,29.583,9.708,1.083,7.292,196.217,,,,8.565,16.0,,,,204.783
2011-03-16,17.208,21.042,3.833,1.667,12.583,194.609,,,,7.957,15.208,,,,202.565
2011-03-17,18.25,23.0,4.75,0.542,22.083,192.522,,,,15.043,12.875,,,,207.565
2011-03-18,19.958,27.292,7.333,0.875,21.75,198.348,,,,21.957,11.667,,,,220.304
2011-03-19,7.304,8.478,1.174,0.609,4.583,194.435,,,,1.174,7.208,,,,195.609
2011-03-20,10.75,12.125,1.375,0.625,8.333,193.0,,,,3.435,10.458,,,,196.435
2011-03-21,8.875,9.792,0.917,0.625,6.583,194.478,,,,2.174,10.125,,,,196.652
2011-03-22,20.833,26.875,6.042,1.333,9.875,193.87,,,,10.696,14.583,,,,204.565
2011-03-23,26.5,31.25,4.75,0.542,23.417,193.435,,,,16.652,16.042,,,,210.087
2011-03-24,16.083,20.125,4.042,0.208,13.542,196.217,,,,11.435,5.708,,,,207.652
2011-03-25,5.167,5.833,0.667,0.333,4.583,196.565,,,,1.478,10.792,,,,198.043
2011-03-26,9.636,10.636,1.0,0.591,4.833,196.545,,,,2.182,10.174,,,,198.727
2011-03-27,19.917,23.917,4.0,0.792,15.5,197.391,,,,11.261,13.0,,,,208.652
2011-03-28,21.667,28.0,6.333,1.625,22.375,195.087,,,,11.0,23.778,,,,206.087
2011-03-29,18.875,22.417,3.542,1.5,17.292,196.304,,,,8.913,19.5,,,,205.217
2011-03-30,19.25,24.625,5.375,1.375,14.917,193.174,,,,11.609,16.75,,,,204.783
2011-03-31,4.542,4.708,0.167,0.625,11.875,190.261,,,,2.348,9.75,,,,192.609
2011-04-01,18.917,20.917,2.0,1.208,11.375,192.043,,,,6.565,16.542,,,,198.609
2011-04-02,13.708,14.75,1.042,1.375,20.667,190.696,,,,7.391,26.333,,,,198.087
2011-04-03,6.5,6.583,0.083,0.958,6.667,191.783,,,,0.435,9.542,,,,192.217
2011-04-04,9.435,9.87,0.435,0.609,6.125,191.043,,,,1.13,9.208,,,,192.174
2011-04-05,17.0,18.174,1.174,1.478,11.304,192.0,,,,5.348,16.864,,,,197.348
2011-04-06,18.625,20.0,1.375,1.5,18.333,191.391,,,,7.913,21.75,,,,199.304
2011-04-07,16.333,18.958,2.625,1.292,13.5,189.826,,,,7.0,19.042,,,,196.826
2011-04-08,7.042,7.167,0.125,1.167,17.458,188.565,,,,3.0,14.333,,,,191.565
2011-04-09,7.375,7.708,0.333,0.375,15.792,187.739,,,,5.609,13.042,,,,193.348
2011-04-10,9.958,10.083,0.125,1.292,27.833,191.217,,,,7.261,24.5,,,,198.478
2011-04-11,14.522,16.652,2.13,2.0,27.542,191.783,,,,7.348,,,,,199.13
2011-04-12,9.708,10.458,0.75,0.958,21.125,192.217,,,,3.478,,,,,195.696
2011-04-13,23.792,28.875,5.083,2.083,26.25,192.652,,,,11.87,,,,,204.522
2011-04-14,21.208,25.5,4.292,2.208,22.083,192.348,,,,11.957,,,,,204.304
2011-04-15,19.636,21.727,2.091,2.0,27.792,189.727,,,,9.773,,,,,199.5
2011-04-16,10.833,13.583,2.75,0.833,29.125,191.652,,,,9.391,,,,,201.043
2011-04-17,5.042,5.792,0.75,0.792,15.625,189.913,,,,2.087,,,,,192.0
2011-04-18,9.348,10.609,1.261,0.913,19.75,188.304,,,,4.522,,,,,192.826
2011-04-19,11.833,12.667,0.833,0.625,9.208,191.435,,,,8.696,11.583,,,,200.13
