date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,203.217,,,,16.304,16.417,20.583,4.167,18.167,,,,219.522
2011-01-02,196.174,,,,10.261,9.478,13.739,4.261,8.833,,,,206.435
2011-01-03,189.565,,,,2.565,4.667,4.958,0.292,5.0,,,,192.13
2011-01-04,192.348,,,,2.565,5.042,5.5,0.458,23.542,,,,194.913
2011-01-05,192.095,,,,2.476,6.609,7.348,0.739,2.773,,,,194.571
2011-01-06,194.217,,,,6.957,16.25,21.042,4.792,8.25,,,,201.174
2011-01-07,192.826,,,,2.478,6.333,6.708,0.375,3.792,,,,195.304
2011-01-08,192.174,,,,3.391,6.667,7.375,0.708,4.458,,,,195.565
2011-01-09,194.652,,,,5.783,11.913,14.435,2.522,10.125,,,,200.435
2011-01-10,194.13,,,,8.609,17.25,21.375,4.125,13.042,,,,202.739
2011-01-11,196.174,,,,10.087,15.0,23.125,8.125,18.125,,,,206.261
2011-01-12,192.174,,,,5.13,9.875,13.458,3.583,4.208,,,,197.304
2011-01-13,198.783,,,,21.565,17.958,43.875,25.917,10.917,,,,220.348
2011-01-14,194.696,,,,3.783,7.583,8.625,1.042,8.833,,,,198.478
2011-01-15,191.043,,,,3.174,5.458,5.958,0.5,5.125,,,,194.217
2011-01-16,193.739,,,,5.783,15.217,17.261,2.043,5.167,,,,199.522
2011-01-17,193.348,,,,8.826,18.208,24.625,6.417,9.542,,,,202.174
2011-01-18,202.043,,,,27.304,31.043,75.913,44.87,24.0,,,,229.348
2011-01-19,196.522,,,,23.522,34.5,61.083,26.583,30.5,,,,220.043
2011-01-20,192.043,,,,14.261,24.75,31.417,6.667,11.583,,,,206.304
2011-01-21,192.609,,,,15.522,22.292,29.042,6.75,14.125,,,,208.13
2011-01-22,192.304,,,,7.261,10.708,13.167,2.458,7.458,,,,199.565
2011-01-23,192.957,,,,5.043,8.435,9.609,1.174,4.125,,,,198.0
2011-01-24,192.957,,,,4.652,7.417,9.0,1.583,3.167,,,,197.609
2011-01-25,190.522,,,,3.087,6.542,7.708,1.167,7.792,,,,193.609
2011-01-26,192.478,,,,3.304,8.208,9.667,1.458,3.083,,,,195.783
2011-01-27,193.522,,,,5.913,12.208,15.208,3.0,11.167,,,,199.435
2011-01-28,193.174,,,,4.565,10.042,11.625,1.583,14.792,,,,197.739
2011-01-29,194.739,,,,2.522,6.458,7.083,0.625,7.083,,,,197.261
2011-01-30,194.87,,,,5.087,14.0,19.609,5.609,4.708,,,,199.957
2011-01-31,193.217,,,,3.652,10.583,13.083,2.5,7.583,,,,196.87
2011-02-01,196.043,,,,15.913,19.375,36.833,17.458,8.458,,,,211.957
2011-02-02,193.13,,,,2.087,5.292,6.292,1.0,4.75,,,,195.217
2011-02-03,194.435,,,,4.87,10.792,12.542,1.75,7.5,,,,199.304
2011-02-04,196.043,,,,13.652,16.75,26.667,9.917,18.667,,,,209.696
2011-02-05,195.739,,,,7.348,12.458,13.917,1.458,23.25,,,,203.087
2011-02-06,197.783,,,,22.217,30.609,47.565,16.957,30.417,,,,220.0
2011-02-07,197.826,,,,10.87,19.083,25.542,6.458,16.292,,,,208.696
2011-02-08,191.667,,,,1.333,3.87,4.739,0.87,5.435,,,,193.0
2011-02-09,191.957,,,,1.696,5.833,6.917,1.083,5.75,,,,193.652
2011-02-10,191.0,,,,5.87,9.542,13.083,3.542,6.625,,,,196.87
2011-02-11,191.0,,,,1.13,5.208,6.292,1.083,7.708,,,,192.13
2011-02-12,192.478,,,,0.783,5.208,5.792,0.583,7.958,,,,193.261
2011-02-13,193.217,,,,16.261,26.217,36.609,10.391,16.0,,,,209.478
2011-02-14,195.435,,,,22.0,30.875,50.5,19.625,16.458,,,,217.435
2011-02-15,196.087,,,,11.609,21.0,35.913,14.913,21.13,,,,207.696
2011-02-16,192.696,,,,3.304,9.833,11.292,1.458,9.083,,,,196.0
2011-02-17,190.652,,,,2.13,5.667,6.667,1.0,6.417,,,,192.783
2011-02-18,194.652,,,,0.957,6.333,7.0,0.667,5.5,,,,195.609
2011-02-19,193.565,,,,4.913,7.625,8.833,1.208,9.708,,,,198.478
2011-02-20,193.957,,,,5.217,13.826,16.174,2.348,7.083,,,,199.174
2011-02-21,194.174,,,,11.13,21.792,28.583,6.792,10.542,,,,205.304
2011-02-22,196.522,,,,14.435,28.125,38.833,10.708,26.375,,,,210.957
2011-02-23,195.478,,,,15.609,20.478,28.0,7.522,30.458,,,,211.087
2011-02-24,195.87,,,,7.565,17.958,19.417,1.458,32.667,,,,203.435
2011-02-25,195.565,,,,9.826,19.667,23.792,4.125,30.792,,,,205.391
2011-02-26,192.826,,,,0.261,5.917,6.375,0.458,5.375,,,,193.087
2011-02-27,193.739,,,,1.217,9.826,10.913,1.087,9.542,,,,194.957
2011-02-28,195.0,,,,8.435,17.5,20.25,2.75,8.792,,,,203.435
2011-03-01,197.696,,,,18.565,29.75,37.208,7.458,21.583,,,,216.261
2011-03-02,200.087,,,,36.913,28.75,57.792,29.042,29.417,,,,237.0
2011-03-03,192.696,,,,1.565,8.0,8.458,0.458,10.75,,,,194.261
2011-03-04,197.478,,,,11.348,20.125,21.792,1.667,24.542,,,,208.826
2011-03-05,201.409,,,,21.273,32.0,46.0,14.0,20.696,,,,222.682
2011-03-06,199.652,,,,15.957,24.667,36.5,11.833,22.917,,,,215.609
2011-03-07,197.478,,,,6.739,14.125,15.042,0.917,26.875,,,,204.217
2011-03-08,197.478,,,,13.913,25.75,30.375,4.625,26.208,,,,211.391
2011-03-09,195.043,,,,6.609,17.417,18.958,1.542,19.708,,,,201.652
2011-03-10,192.304,,,,3.783,7.0,7.625,0.625,6.875,,,,196.087
2011-03-11,190.217,,,,1.087,6.25,7.333,1.083,9.5,,,,191.304
2011-03-12,192.913,,,,1.565,5.13,5.652,0.522,4.583,,,,194.478
2011-03-13,192.696,,,,0.739,5.5,6.083,0.583,6.708,,,,193.435
2011-03-14,194.087,,,,9.957,21.0,26.167,5.167,13.167,,,,204.043
2011-03-15,197.043,,,,11.043,18.522,25.913,7.391,16.958,,,,208.087
2011-03-16,192.435,,,,9.348,16.875,20.833,3.958,19.958,,,,201.783
2011-03-17,196.391,,,,24.565,27.875,36.917,9.042,23.333,,,,220.957
2011-03-18,199.174,,,,26.261,19.917,25.375,5.458,17.667,,,,225.435
2011-03-19,193.043,,,,1.13,4.0,4.304,0.304,5.583,,,,194.174
2011-03-20,191.87,,,,1.565,6.833,7.458,0.625,9.417,,,,193.435
2011-03-21,192.391,,,,1.043,5.875,6.333,0.458,6.875,,,,193.435
2011-03-22,194.652,,,,12.174,21.333,30.042,8.708,15.792,,,,206.826
2011-03-23,193.783,,,,18.217,30.167,36.708,6.542,22.792,,,,212.0
2011-03-24,195.435,,,,13.087,16.667,20.167,3.5,9.625,,,,208.522
2011-03-25,194.391,,,,2.652,5.042,5.333,0.292,9.875,,,,197.043
2011-03-26,195.348,,,,3.174,8.227,8.682,0.455,4.833,,,,198.522
2011-03-27,193.783,,,,5.174,14.5,16.167,1.667,14.792,,,,198.957
2011-03-28,196.87,,,,16.696,22.667,32.083,9.417,29.125,,,,213.565
2011-03-29,194.217,,,,7.304,17.542,19.667,2.125,17.917,,,,201.522
2011-03-30,198.565,,,,27.304,27.25,42.792,15.542,28.875,,,,225.87
2011-03-31,190.348,,,,0.913,5.125,5.25,0.125,12.125,,,,191.261
2011-04-01,193.273,78.0,49.708,20.0,12.682,21.875,27.667,5.792,15.917,17.9,10.442,2.2,205.955
2011-04-02,195.174,80.0,52.333,32.0,26.087,20.333,26.667,6.333,26.958,19.5,11.633,4.4,221.261
2011-04-03,190.0,52.0,37.625,25.0,4.0,5.333,5.583,0.25,9.958,12.0,8.883,6.2,194.0
2011-04-04,189.611,53.0,36.292,20.0,9.333,8.727,9.818,1.091,3.783,16.8,9.704,4.4,198.944
2011-04-05,192.105,76.0,40.958,23.0,9.263,15.292,17.417,2.125,16.417,17.0,10.562,6.2,201.368
2011-04-06,193.455,80.0,58.792,33.0,18.5,24.083,32.667,8.583,23.167,18.9,11.896,3.9,211.955
2011-04-07,194.826,83.0,64.625,34.0,21.261,23.875,33.792,9.917,26.583,21.0,13.796,8.4,216.087
2011-04-08,190.533,91.0,70.417,53.0,9.867,10.458,11.667,1.208,19.917,18.8,15.85,11.7,200.4
2011-04-09,187.87,96.0,76.5,49.0,11.783,12.708,16.542,3.833,19.458,19.5,15.238,11.9,199.652
2011-04-10,190.478,84.0,49.583,27.0,7.391,9.625,10.333,0.708,28.917,20.4,14.729,9.1,197.87
2011-04-11,195.652,89.0,58.083,27.0,13.739,18.783,25.87,7.087,28.875,20.6,12.408,7.1,209.391
2011-04-12,190.174,59.0,32.125,19.0,4.609,10.5,11.5,1.0,18.042,16.5,11.279,6.2,194.783
