date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,,,,17.5,22.708,5.208,,37.708,,,
2011-01-02,,,,10.833,15.208,4.375,,25.958,,,
2011-01-03,,,,6.667,7.792,1.125,,10.333,,,
2011-01-04,,,,12.818,16.545,3.727,,15.5,,,
2011-01-05,,,,8.708,10.167,1.458,,12.75,,,
2011-01-06,,,,22.417,29.0,6.583,,23.125,,,
2011-01-07,,,,12.375,14.667,2.292,,15.625,,,
2011-01-08,,,,10.625,12.833,2.208,,18.333,,,
2011-01-09,,,,16.833,19.75,2.917,,27.125,,,
2011-01-10,,,,19.5,30.167,10.667,,28.417,,,
2011-01-11,,,,16.818,26.682,9.864,,26.958,,,
2011-01-12,,,,15.125,19.292,4.167,,20.042,,,
2011-01-13,,,,34.25,56.25,22.0,,27.25,,,
2011-01-14,,,,17.708,21.75,4.042,,16.75,,,
2011-01-15,,,,18.75,22.625,3.875,,30.542,,,
2011-01-16,,,,20.458,29.208,8.75,,31.625,,,
2011-01-17,,,,11.875,14.458,2.583,,14.727,,,
2011-01-18,,,,28.682,48.5,19.818,,,,,
2011-01-19,,,,17.583,35.417,17.833,,24.462,,,
2011-01-20,,,,7.667,8.75,1.083,,27.417,,,
2011-01-21,,,,8.0,9.417,1.417,,20.75,,,
2011-01-22,,,,9.458,12.208,2.75,,19.417,,,
2011-01-23,,,,16.042,32.667,16.625,,26.833,,,
2011-01-24,,,,15.792,20.042,4.25,,21.667,,,
2011-01-25,,,,23.455,40.182,16.727,,31.917,,,
2011-01-26,,,,16.25,18.958,2.708,,21.417,,,
2011-01-27,,,,21.625,42.417,20.792,,23.0,,,
2011-01-28,,,,17.875,23.833,5.958,,24.042,,,
2011-01-29,,,,4.583,5.208,0.625,,14.875,,,
2011-01-30,,,,16.125,20.417,4.292,,15.522,,,
2011-01-31,,,,27.667,41.833,14.167,,23.917,,,
2011-02-01,,,,18.696,32.783,14.087,,21.5,,,
2011-02-02,,,,6.792,7.667,0.875,,13.941,,,
2011-02-03,,,,20.375,29.417,9.042,,23.0,,,
2011-02-04,,,,28.25,54.125,25.875,,28.0,,,
2011-02-05,,,,8.75,9.458,0.708,,26.75,,,
2011-02-06,,,,28.583,38.708,10.125,,69.708,,,
2011-02-07,,,,23.417,35.292,11.875,,72.583,,,
2011-02-08,,,,12.826,14.391,1.565,,17.375,,,
2011-02-09,,,,10.458,11.917,1.458,,12.708,,,
2011-02-10,,,,20.208,31.167,10.958,,22.792,,,
2011-02-11,,,,12.875,15.375,2.5,,22.667,,,
2011-02-12,,,,10.208,10.833,0.625,,18.042,,,
2011-02-13,,,,18.208,20.75,2.542,,26.875,,,
2011-02-14,,,,27.455,32.682,5.227,,57.333,,,
2011-02-15,,,,27.522,43.87,16.348,,66.542,,,
2011-02-16,,,,9.292,10.0,0.708,,24.958,,,
2011-02-17,,,,12.0,15.708,3.708,,39.042,,,
2011-02-18,,,,6.125,7.125,1.0,,15.708,,,
2011-02-19,,,,10.375,11.833,1.458,,18.542,,,
2011-02-20,,,,19.333,24.083,4.75,,25.167,,,
2011-02-21,,,,22.917,30.625,7.708,,28.958,,,
2011-02-22,,,,9.391,9.739,0.348,,29.5,,,
2011-02-23,,,,21.292,26.333,5.042,,55.583,,,
2011-02-24,,,,7.0,7.375,0.375,,31.417,,,
2011-02-25,,,,7.75,8.292,0.542,,24.625,,,
2011-02-26,,,,4.667,5.083,0.417,,16.625,,,
2011-02-27,,,,5.125,5.542,0.417,,14.0,,,
2011-02-28,,,,4.25,4.5,0.25,,17.875,,,
2011-03-01,,,,15.167,17.167,2.0,,34.667,,,
2011-03-02,,,,11.667,11.917,0.25,,29.042,,,
2011-03-03,,,,5.083,5.333,0.25,,22.042,,,
2011-03-04,,,,3.542,3.542,0.0,,22.417,,,
2011-03-05,,,,17.583,18.958,1.375,,29.292,,,
2011-03-06,,,,15.708,17.917,2.208,,35.042,,,
2011-03-07,,,,7.13,7.87,0.739,,34.708,,,
2011-03-08,,,,5.083,5.375,0.292,,25.375,,,
2011-03-09,,,,11.125,12.25,1.125,,30.125,,,
2011-03-10,,,,5.792,6.25,0.458,,13.875,,,
2011-03-11,,,,5.75,6.5,0.75,,19.792,,,
2011-03-12,,,,7.417,8.583,1.167,,12.875,,,
2011-03-13,,,,6.25,6.917,0.667,,14.708,,,
2011-03-14,,,,9.913,10.87,0.957,,18.375,,,
2011-03-15,,,,15.833,21.917,6.083,,26.25,,,
2011-03-16,,,,11.792,13.25,1.458,,25.708,,,
2011-03-17,,,,27.833,34.583,6.75,,58.667,,,
2011-03-18,,,,15.75,19.042,3.292,,56.167,,,
2011-03-19,,,,11.875,12.708,0.833,,18.583,,,
2011-03-20,,,,10.667,11.583,0.917,,24.833,,,
2011-03-21,,,,7.826,7.957,0.13,,16.375,,,
2011-03-22,,,,39.792,58.333,18.542,,39.417,,,
2011-03-23,,,,25.375,36.917,11.542,,58.583,,,
2011-03-24,,,,12.542,13.208,0.667,,22.583,,,
2011-03-25,,,,9.625,10.458,0.833,,15.125,,,
2011-03-26,,,,12.667,14.792,2.125,,19.083,,,
2011-03-27,,,,18.652,20.652,2.0,,20.609,,,
2011-03-28,,,,18.625,23.292,4.667,,34.208,,,
2011-03-29,,,,9.875,10.5,0.625,,23.708,,,
2011-03-30,,,,9.333,9.75,0.417,,25.958,,,
2011-03-31,,,,5.833,5.958,0.125,,27.708,,,
2011-04-01,,,,11.875,13.292,1.417,,25.25,,,
2011-04-02,,,,17.708,20.417,2.708,,41.75,,,
2011-04-03,,,,6.708,6.917,0.208,,22.292,,,
2011-04-04,,,,9.042,9.875,0.833,,21.625,,,
2011-04-05,,,,9.13,10.087,0.957,,19.583,,,
2011-04-06,,,,19.667,23.667,4.0,,30.375,,,
2011-04-07,,,,15.833,18.792,2.958,,33.5,,,
2011-04-08,,,,6.375,6.708,0.333,,24.917,,,
2011-04-09,,,,7.833,8.333,0.5,,26.167,,,
2011-04-10,,,,3.333,3.5,0.167,,23.0,,,
2011-04-11,,,,10.458,12.125,1.667,,34.375,,,
2011-04-12,,,,5.652,6.348,0.696,,21.625,,,
2011-04-13,,,,19.542,22.667,3.125,,33.583,,,
2011-04-14,,,,16.458,18.542,2.083,,39.625,,,
2011-04-15,,,,14.042,17.0,2.958,,41.958,,,
2011-04-16,,,,7.625,8.333,0.708,,27.917,,,
2011-04-17,,,,3.583,3.792,0.208,,21.833,,,
2011-04-18,,,,4.667,5.083,0.417,,23.25,,,
2011-04-19,,,,6.87,7.087,0.217,,19.042,,,
2011-04-20,,,,6.708,7.25,0.542,,15.792,,,
2011-04-21,,,,6.417,6.708,0.292,,20.875,,,
2011-04-22,,,,13.5,14.5,1.0,,33.375,,,
2011-04-23,,,,6.042,6.25,0.208,,23.292,,,
2011-04-24,,,,4.5,4.542,0.042,,17.875,,,
2011-04-25,,,,10.708,11.208,0.5,,25.217,,,
2011-04-26,,,,17.739,21.522,3.783,,29.792,,,
2011-04-27,,,,8.583,9.333,0.75,,54.583,,,
2011-04-28,,,,8.125,8.792,0.667,,28.458,,,
2011-04-29,,,,3.792,4.292,0.5,,21.042,,,
2011-04-30,,,,8.875,10.042,1.167,,34.208,,,
2011-05-01,,,,5.125,5.375,0.25,,30.208,,,
2011-05-02,,,,7.208,7.708,0.5,,70.125,,,
2011-05-03,,,,5.87,6.913,1.043,,42.0,,,
2011-05-04,,,,4.125,5.125,1.0,,26.292,,,
2011-05-05,,,,1.417,2.417,1.0,,23.542,,,
2011-05-06,,,,3.25,4.25,1.0,,24.125,,,
