date,SPM_mean
2011-01-01,3.625
2011-01-02,6.5
2011-01-03,4.875
2011-01-04,8.125
2011-01-05,11.5
2011-01-06,6.166666666666667
2011-01-07,5.5
2011-01-08,5.75
2011-01-09,10.666666666666666
2011-01-10,11.875
2011-01-11,9.416666666666666
2011-01-12,3.6956521739130435
2011-01-13,7.5
2011-01-14,6.5
2011-01-15,5.5
2011-01-16,15.208333333333334
2011-01-17,7.5
2011-01-18,8.166666666666666
2011-01-19,5.434782608695652
2011-01-20,11.25
2011-01-21,4.958333333333333
2011-01-22,2.75
2011-01-23,2.5416666666666665
2011-01-24,5.583333333333333
2011-01-25,9.875
2011-01-26,6.166666666666667
2011-01-27,14.083333333333334
2011-01-28,8.5
2011-01-29,2.9583333333333335
2011-01-30,5.375
2011-01-31,8.208333333333334
2011-02-01,11.208333333333334
2011-02-02,9.166666666666666
2011-02-03,5.166666666666667
2011-02-04,13.75
2011-02-05,13.875
2011-02-06,27.333333333333332
2011-02-07,13.666666666666666
2011-02-08,6.333333333333333
2011-02-09,8.583333333333334
2011-02-10,6.5
2011-02-11,6.875
2011-02-12,12.125
2011-02-13,10.125
2011-02-14,11.347826086956522
2011-02-15,19.208333333333332
2011-02-16,4.75
2011-02-17,6.25
2011-02-18,8.125
2011-02-19,1.75
2011-02-20,7.916666666666667
2011-02-21,12.375
2011-02-22,20.333333333333332
2011-02-23,25.333333333333332
2011-02-24,27.25
2011-02-25,16.75
2011-02-26,13.166666666666666
2011-02-27,9.25
2011-02-28,8.583333333333334
2011-03-01,16.0
2011-03-02,12.208333333333334
2011-03-03,13.958333333333334
2011-03-04,10.708333333333334
2011-03-05,4.333333333333333
2011-03-06,6.75
2011-03-07,26.875
2011-03-08,17.083333333333332
2011-03-09,18.25
2011-03-10,11.25
2011-03-11,10.875
2011-03-12,19.583333333333332
2011-03-13,12.25
2011-03-14,9.875
2011-03-15,13.0
2011-03-16,13.083333333333334
2011-03-17,12.791666666666666
2011-03-18,8.5
2011-03-19,6.260869565217392
2011-03-20,12.625
2011-03-21,12.166666666666666
2011-03-22,16.208333333333332
2011-03-23,22.166666666666668
2011-03-24,2.75
2011-03-25,7.916666666666667
2011-03-26,10.916666666666666
2011-03-27,19.541666666666668
2011-03-28,33.541666666666664
2011-03-29,18.5
2011-03-30,20.416666666666668
2011-03-31,11.0
2011-04-01,13.0
2011-04-02,15.916666666666666
2011-04-03,6.958333333333333
